/home/ec2-user/dev/ugh/.venv/lib/python3.13/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Model: baseline | Params: 1,803,850 | K=4 | blocks/unit=-
----------------------------------------------------------------------
Ep 208 | loss 0.0362 | task 0.0362 | train 98.8% | test 83.5%
Ep 209 | loss 0.0384 | task 0.0384 | train 98.7% | test 83.6%
Ep 210 | loss 0.0372 | task 0.0372 | train 98.7% | test 83.7%
Ep 211 | loss 0.0358 | task 0.0358 | train 98.8% | test 83.7%
Ep 212 | loss 0.0344 | task 0.0344 | train 98.8% | test 83.8%
Ep 213 | loss 0.0350 | task 0.0350 | train 98.8% | test 83.7%
Ep 214 | loss 0.0347 | task 0.0347 | train 98.8% | test 83.4%
Ep 215 | loss 0.0341 | task 0.0341 | train 98.8% | test 83.3%
Ep 216 | loss 0.0333 | task 0.0333 | train 98.8% | test 83.5%
Ep 217 | loss 0.0301 | task 0.0301 | train 99.0% | test 83.5%
Ep 218 | loss 0.0325 | task 0.0325 | train 98.9% | test 83.8%
Ep 219 | loss 0.0296 | task 0.0296 | train 99.0% | test 83.7%
Ep 220 | loss 0.0286 | task 0.0286 | train 99.0% | test 83.5%
Ep 221 | loss 0.0293 | task 0.0293 | train 98.9% | test 83.9%
Ep 222 | loss 0.0288 | task 0.0288 | train 99.0% | test 83.5%
Ep 223 | loss 0.0283 | task 0.0283 | train 99.0% | test 83.5%
Ep 224 | loss 0.0294 | task 0.0294 | train 99.0% | test 84.0%
Ep 225 | loss 0.0283 | task 0.0283 | train 99.0% | test 83.7%
Ep 226 | loss 0.0273 | task 0.0273 | train 99.0% | test 84.0%
Ep 227 | loss 0.0255 | task 0.0255 | train 99.1% | test 83.5%
Ep 228 | loss 0.0283 | task 0.0283 | train 99.0% | test 84.0%
Ep 229 | loss 0.0253 | task 0.0253 | train 99.1% | test 83.6%
Ep 230 | loss 0.0253 | task 0.0253 | train 99.2% | test 83.7%
Ep 231 | loss 0.0243 | task 0.0243 | train 99.2% | test 83.7%
Ep 232 | loss 0.0261 | task 0.0261 | train 99.1% | test 84.0%
Ep 233 | loss 0.0241 | task 0.0241 | train 99.2% | test 83.9%
