/home/ec2-user/dev/ugh/.venv/lib/python3.13/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Model: baseline | Params: 3,583,306 | K=8 | blocks/unit=-
----------------------------------------------------------------------
Ep 248 | loss 0.0057 | task 0.0057 | train 99.8% | test 82.9%
Ep 249 | loss 0.0061 | task 0.0061 | train 99.8% | test 83.0%
Ep 250 | loss 0.0049 | task 0.0049 | train 99.9% | test 83.2%
Ep 251 | loss 0.0053 | task 0.0053 | train 99.8% | test 83.3%
Ep 252 | loss 0.0055 | task 0.0055 | train 99.8% | test 83.1%
Ep 253 | loss 0.0055 | task 0.0055 | train 99.8% | test 83.2%
Ep 254 | loss 0.0052 | task 0.0052 | train 99.8% | test 83.4%
Ep 255 | loss 0.0050 | task 0.0050 | train 99.8% | test 83.2%
Ep 256 | loss 0.0041 | task 0.0041 | train 99.9% | test 83.2%
Ep 257 | loss 0.0035 | task 0.0035 | train 99.9% | test 83.3%
Ep 258 | loss 0.0046 | task 0.0046 | train 99.9% | test 83.3%
Ep 259 | loss 0.0039 | task 0.0039 | train 99.9% | test 83.2%
Ep 260 | loss 0.0040 | task 0.0040 | train 99.9% | test 83.2%
Ep 261 | loss 0.0038 | task 0.0038 | train 99.9% | test 83.1%
Ep 262 | loss 0.0035 | task 0.0035 | train 99.9% | test 83.1%
Ep 263 | loss 0.0040 | task 0.0040 | train 99.9% | test 83.2%
Ep 264 | loss 0.0036 | task 0.0036 | train 99.9% | test 83.2%
Ep 265 | loss 0.0029 | task 0.0029 | train 99.9% | test 83.2%
Ep 266 | loss 0.0030 | task 0.0030 | train 99.9% | test 83.1%
Ep 267 | loss 0.0038 | task 0.0038 | train 99.9% | test 83.2%
Ep 268 | loss 0.0034 | task 0.0034 | train 99.9% | test 83.3%
Ep 269 | loss 0.0032 | task 0.0032 | train 99.9% | test 83.3%
Ep 270 | loss 0.0028 | task 0.0028 | train 99.9% | test 83.2%
Ep 271 | loss 0.0027 | task 0.0027 | train 99.9% | test 83.2%
Ep 272 | loss 0.0031 | task 0.0031 | train 99.9% | test 83.5%
