Loading ImageNet64 from HuggingFace...
Model: baseline | Params: 14,699,368 | K=8 | blocks/unit=-
----------------------------------------------------------------------
  step 3600/5005 | loss 3.4043 | acc 29.6% | 789s elapsed | eta 308s
  step 3700/5005 | loss 3.4021 | acc 29.7% | 811s elapsed | eta 286s
  step 3800/5005 | loss 3.4004 | acc 29.7% | 833s elapsed | eta 264s
  step 3900/5005 | loss 3.3985 | acc 29.7% | 855s elapsed | eta 242s
  step 4000/5005 | loss 3.3970 | acc 29.7% | 876s elapsed | eta 220s
  step 4100/5005 | loss 3.3948 | acc 29.8% | 898s elapsed | eta 198s
  step 4200/5005 | loss 3.3923 | acc 29.8% | 920s elapsed | eta 176s
  step 4300/5005 | loss 3.3904 | acc 29.8% | 942s elapsed | eta 154s
  step 4400/5005 | loss 3.3887 | acc 29.9% | 964s elapsed | eta 133s
  step 4500/5005 | loss 3.3868 | acc 29.9% | 986s elapsed | eta 111s
  step 4600/5005 | loss 3.3847 | acc 29.9% | 1008s elapsed | eta 89s
  step 4700/5005 | loss 3.3823 | acc 30.0% | 1030s elapsed | eta 67s
  step 4800/5005 | loss 3.3807 | acc 30.0% | 1052s elapsed | eta 45s
  step 4900/5005 | loss 3.3789 | acc 30.0% | 1074s elapsed | eta 23s
  step 5000/5005 | loss 3.3771 | acc 30.0% | 1096s elapsed | eta 1s
Ep   4 | loss 3.3771 | task 3.3771 | train 30.0% | test 30.4% | 1108s
  step 100/5005 | loss 3.1228 | acc 33.6% | 22s elapsed | eta 1086s
  step 200/5005 | loss 3.1208 | acc 33.8% | 44s elapsed | eta 1058s
  step 300/5005 | loss 3.1264 | acc 33.9% | 66s elapsed | eta 1034s
  step 400/5005 | loss 3.1298 | acc 33.8% | 88s elapsed | eta 1011s
  step 500/5005 | loss 3.1347 | acc 33.8% | 110s elapsed | eta 989s
  step 600/5005 | loss 3.1399 | acc 33.7% | 132s elapsed | eta 967s
  step 700/5005 | loss 3.1451 | acc 33.6% | 154s elapsed | eta 945s
  step 800/5005 | loss 3.1470 | acc 33.6% | 175s elapsed | eta 922s
  step 900/5005 | loss 3.1458 | acc 33.6% | 197s elapsed | eta 900s
