Loading ImageNet64 from HuggingFace...
Model: continuous | Params: 8,012,136 | K=4 | blocks/unit=4
----------------------------------------------------------------------
  step 1200/5005 | loss 3.2357 | acc 32.1% | 269s elapsed | eta 854s
  step 1300/5005 | loss 3.2323 | acc 32.2% | 293s elapsed | eta 836s
  step 1400/5005 | loss 3.2318 | acc 32.3% | 316s elapsed | eta 815s
  step 1500/5005 | loss 3.2328 | acc 32.2% | 339s elapsed | eta 792s
  step 1600/5005 | loss 3.2308 | acc 32.3% | 362s elapsed | eta 771s
  step 1700/5005 | loss 3.2303 | acc 32.3% | 384s elapsed | eta 747s
  step 1800/5005 | loss 3.2284 | acc 32.3% | 409s elapsed | eta 728s
  step 1900/5005 | loss 3.2282 | acc 32.3% | 430s elapsed | eta 703s
  step 2000/5005 | loss 3.2273 | acc 32.3% | 454s elapsed | eta 682s
  step 2100/5005 | loss 3.2256 | acc 32.4% | 478s elapsed | eta 662s
  step 2200/5005 | loss 3.2254 | acc 32.4% | 501s elapsed | eta 639s
  step 2300/5005 | loss 3.2244 | acc 32.4% | 524s elapsed | eta 616s
  step 2400/5005 | loss 3.2238 | acc 32.4% | 547s elapsed | eta 594s
  step 2500/5005 | loss 3.2230 | acc 32.4% | 571s elapsed | eta 573s
  step 2600/5005 | loss 3.2209 | acc 32.5% | 596s elapsed | eta 551s
  step 2700/5005 | loss 3.2208 | acc 32.5% | 618s elapsed | eta 528s
  step 2800/5005 | loss 3.2187 | acc 32.5% | 643s elapsed | eta 507s
  step 2900/5005 | loss 3.2177 | acc 32.5% | 665s elapsed | eta 483s
  step 3000/5005 | loss 3.2167 | acc 32.5% | 688s elapsed | eta 460s
  step 3100/5005 | loss 3.2160 | acc 32.6% | 710s elapsed | eta 436s
  step 3200/5005 | loss 3.2141 | acc 32.6% | 734s elapsed | eta 414s
  step 3300/5005 | loss 3.2128 | acc 32.6% | 755s elapsed | eta 390s
  step 3400/5005 | loss 3.2115 | acc 32.6% | 774s elapsed | eta 366s
  step 3500/5005 | loss 3.2091 | acc 32.7% | 797s elapsed | eta 343s
  step 3600/5005 | loss 3.2075 | acc 32.7% | 821s elapsed | eta 321s
  step 3700/5005 | loss 3.2059 | acc 32.7% | 843s elapsed | eta 297s
  step 3800/5005 | loss 3.2046 | acc 32.8% | 866s elapsed | eta 275s
  step 3900/5005 | loss 3.2031 | acc 32.8% | 889s elapsed | eta 252s
